"dim_browser","dim_deviceCategory","dim_date","sessions","transactions","QTY"
"(not set)","desktop",2013-04-18,0,0,0
"(not set)","desktop",2013-04-22,0,0,0
"(not set)","mobile",2012-07-02,2,0,0
"(not set)","mobile",2012-07-10,1,0,0
"(not set)","mobile",2012-07-19,1,0,0
"(not set)","mobile",2012-07-24,4,0,0
"(not set)","mobile",2012-08-01,0,0,0
"(not set)","mobile",2012-08-05,1,0,0
"(not set)","mobile",2012-08-20,1,0,0
"(not set)","mobile",2012-09-16,1,0,0
"(not set)","mobile",2012-09-24,1,0,0
"(not set)","mobile",2012-10-04,0,0,0
"(not set)","mobile",2012-10-11,1,0,0
"(not set)","mobile",2012-10-17,3,0,0
"(not set)","mobile",2012-10-19,0,0,0
"(not set)","mobile",2012-10-20,0,0,0
"(not set)","mobile",2012-11-07,4,0,0
"(not set)","mobile",2012-11-15,1,0,0
"(not set)","mobile",2012-11-16,2,0,0
"(not set)","mobile",2012-11-18,1,0,0
"(not set)","mobile",2012-11-21,0,0,0
"(not set)","mobile",2012-12-18,5,0,0
"(not set)","mobile",2012-12-19,4,0,0
"(not set)","mobile",2012-12-25,2,0,0
"(not set)","mobile",2012-12-26,1,0,0
"(not set)","mobile",2012-12-29,2,0,0
"(not set)","mobile",2012-12-30,1,0,0
"(not set)","mobile",2013-01-11,3,0,0
"(not set)","mobile",2013-01-13,0,0,0
"(not set)","mobile",2013-01-24,1,0,0
"(not set)","mobile",2013-01-28,0,0,0
"(not set)","mobile",2013-02-10,3,0,0
"(not set)","mobile",2013-02-11,2,0,0
"(not set)","mobile",2013-02-14,2,0,0
"(not set)","mobile",2013-02-18,1,0,0
"(not set)","mobile",2013-02-22,2,0,0
"(not set)","mobile",2013-02-27,3,0,0
"(not set)","mobile",2013-03-10,1,0,0
"(not set)","mobile",2013-03-12,0,0,0
"(not set)","mobile",2013-03-15,1,0,0
"(not set)","mobile",2013-03-19,0,0,0
"(not set)","mobile",2013-03-22,1,0,0
"(not set)","mobile",2013-04-05,1,0,0
"(not set)","mobile",2013-04-10,0,0,0
"(not set)","mobile",2013-04-11,0,0,0
"(not set)","mobile",2013-04-16,2,0,0
"(not set)","mobile",2013-04-28,1,0,0
"(not set)","mobile",2013-05-06,0,0,0
"(not set)","mobile",2013-05-07,1,0,0
"(not set)","mobile",2013-05-16,1,0,0
"(not set)","mobile",2013-05-18,2,0,0
"(not set)","mobile",2013-05-24,0,0,0
"(not set)","mobile",2013-05-25,0,0,0
"(not set)","mobile",2013-05-26,2,0,0
"(not set)","mobile",2013-05-30,1,0,0
"(not set)","mobile",2013-06-01,0,0,0
"(not set)","mobile",2013-06-04,0,0,0
"(not set)","mobile",2013-06-05,1,0,0
"(not set)","mobile",2013-06-07,1,0,0
"(not set)","mobile",2013-06-18,1,0,0
"(not set)","mobile",2013-06-22,2,0,0
"(not set)","mobile",2013-06-23,2,0,0
"(not set)","mobile",2013-06-24,0,0,0
"(not set)","mobile",2013-06-25,1,0,0
"(not set)","mobile",2013-07-01,0,0,0
"(not set)","tablet",2012-07-08,2,0,0
"(not set)","tablet",2012-07-18,0,0,0
"(not set)","tablet",2012-07-30,1,0,0
"(not set)","tablet",2012-08-07,0,0,0
"(not set)","tablet",2012-08-09,1,0,0
"(not set)","tablet",2012-08-17,2,0,0
"(not set)","tablet",2012-08-27,4,0,0
"(not set)","tablet",2012-08-28,0,0,0
"(not set)","tablet",2012-09-12,3,0,0
"(not set)","tablet",2012-10-02,2,0,0
"(not set)","tablet",2012-10-16,2,0,0
"(not set)","tablet",2012-10-21,2,0,0
"(not set)","tablet",2012-11-26,0,0,0
"(not set)","tablet",2012-12-18,1,0,0
"(not set)","tablet",2012-12-24,1,0,0
"(not set)","tablet",2013-01-20,0,0,0
"(not set)","tablet",2013-02-09,0,0,0
"(not set)","tablet",2013-02-27,1,0,0
"(not set)","tablet",2013-03-05,1,0,0
"(not set)","tablet",2013-03-11,0,0,0
"(not set)","tablet",2013-03-14,2,0,0
"(not set)","tablet",2013-03-27,3,0,0
"(not set)","tablet",2013-04-05,1,0,0
"(not set)","tablet",2013-04-10,1,0,0
"(not set)","tablet",2013-04-17,1,0,0
"(not set)","tablet",2013-04-18,1,0,0
"(not set)","tablet",2013-04-29,4,0,0
"(not set)","tablet",2013-05-14,0,0,0
"(not set)","tablet",2013-05-29,1,0,0
"(not set)","tablet",2013-06-07,2,0,0
"(not set)","tablet",2013-06-13,0,0,0
"(not set)","tablet",2013-06-16,0,0,0
"(not set)","tablet",2013-06-21,0,0,0
"Amazon Silk","desktop",2012-07-02,1,0,0
"Amazon Silk","desktop",2012-07-27,0,0,0
"Amazon Silk","desktop",2012-09-15,0,0,0
"Amazon Silk","desktop",2012-10-04,2,0,0
"Amazon Silk","desktop",2012-11-03,1,0,0
"Amazon Silk","desktop",2012-12-19,0,0,0
"Amazon Silk","desktop",2012-12-23,1,0,0
"Amazon Silk","desktop",2012-12-30,1,0,0
"Amazon Silk","desktop",2013-02-01,2,0,0
"Amazon Silk","desktop",2013-04-18,0,0,0
"Amazon Silk","desktop",2013-05-11,2,0,0
"Amazon Silk","desktop",2013-05-14,1,0,0
"Amazon Silk","desktop",2013-05-15,1,0,0
"Amazon Silk","desktop",2013-05-16,1,0,0
"Amazon Silk","desktop",2013-05-23,1,0,0
"Amazon Silk","mobile",2012-07-03,1,0,0
"Amazon Silk","mobile",2012-07-05,9,0,0
"Amazon Silk","mobile",2012-07-06,0,0,0
"Amazon Silk","mobile",2012-07-08,13,0,0
"Amazon Silk","mobile",2012-07-10,2,0,0
"Amazon Silk","mobile",2012-07-15,6,0,0
"Amazon Silk","mobile",2012-07-16,6,1,1
"Amazon Silk","mobile",2012-07-21,2,0,0
"Amazon Silk","mobile",2012-07-23,5,0,2
"Amazon Silk","mobile",2012-07-25,14,0,0
"Amazon Silk","mobile",2012-08-05,0,0,0
"Amazon Silk","mobile",2012-08-13,1,0,0
"Amazon Silk","mobile",2012-08-15,17,0,0
